substrate_id,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,yield
Lamivudine,5.0,1.0,0.0,0.0,0.0
Omeprazole,5.0,1.0,0.0,0.0,0.0
Ribavirin,5.0,1.0,0.0,0.0,0.0
Ritonavir,5.0,1.0,0.0,0.0,46.0
Tetracycline,5.0,1.0,0.0,0.0,0.0
Vardenafil,5.0,1.0,0.0,0.0,0.0
Cimetadine,5.0,0.0,0.0,1.0,0.0
Cladribine,5.0,0.0,0.0,1.0,0.0
Clotrimazole,5.0,0.0,0.0,1.0,0.0
Colchicine,5.0,0.0,0.0,1.0,71.0
Etodolac,5.0,0.0,0.0,1.0,0.0
Hydroquinine,5.0,0.0,0.0,1.0,91.0
Hydroxychloroquine,5.0,0.0,0.0,1.0,100.0
Indomethacin,5.0,0.0,0.0,1.0,0.0
Ketanserin,5.0,0.0,0.0,1.0,109.0
Lamivudine,5.0,0.0,0.0,1.0,0.0
Lidocaine,5.0,0.0,0.0,1.0,116.0
Nevirapine,5.0,0.0,0.0,1.0,0.0
Omeprazole,5.0,0.0,0.0,1.0,0.0
Ribavirin,5.0,0.0,0.0,1.0,0.0
Salicin,5.0,0.0,0.0,1.0,100.0
Tetracycline,5.0,0.0,0.0,1.0,0.0
Yohimbine,5.0,0.0,0.0,1.0,0.0
Bifonazole,5.0,0.0,1.0,0.0,112.0
Boscalid,5.0,0.0,1.0,0.0,115.0
Cimetadine,5.0,0.0,1.0,0.0,0.0
Cladribine,5.0,0.0,1.0,0.0,0.0
Clotrimazole,5.0,0.0,1.0,0.0,0.0
Colchicine,5.0,0.0,1.0,0.0,107.0
Etodolac,5.0,0.0,1.0,0.0,0.0
Lamivudine,5.0,0.0,1.0,0.0,0.0
Mizolastine,5.0,0.0,1.0,0.0,117.0
Nevirapine,5.0,0.0,1.0,0.0,0.0
Omeprazole,5.0,0.0,1.0,0.0,0.0
Quinine,5.0,0.0,1.0,0.0,0.0
Ribavirin,5.0,0.0,1.0,0.0,0.0
Tetracycline,5.0,0.0,1.0,0.0,0.0
Vardenafil,5.0,0.0,1.0,0.0,0.0
Bifonazole,6.0,1.0,0.0,0.0,98.0
Caffeine,6.0,1.0,0.0,0.0,0.0
Camptothecin,6.0,1.0,0.0,0.0,43.0
Cimetadine,6.0,1.0,0.0,0.0,0.0
Ciprofloxacin,6.0,1.0,0.0,0.0,52.0
Cladribine,6.0,1.0,0.0,0.0,0.0
Clotrimazole,6.0,1.0,0.0,0.0,0.0
Etodolac,6.0,1.0,0.0,0.0,0.0
Ibuprofen,6.0,1.0,0.0,0.0,2.0
Indomethacin,6.0,1.0,0.0,0.0,76.0
Ketanserin,6.0,1.0,0.0,0.0,46.0
Lamivudine,6.0,1.0,0.0,0.0,0.0
Lidocaine,6.0,1.0,0.0,0.0,53.0
Mizolastine,6.0,1.0,0.0,0.0,103.0
Nevirapine,6.0,1.0,0.0,0.0,4.0
Omeprazole,6.0,1.0,0.0,0.0,0.0
Palbociclib,6.0,1.0,0.0,0.0,86.0
Paracetamol,6.0,1.0,0.0,0.0,54.0
Quinine,6.0,1.0,0.0,0.0,0.0
Ribavirin,6.0,1.0,0.0,0.0,0.0
Risperidone,6.0,1.0,0.0,0.0,13.0
Salicin,6.0,1.0,0.0,0.0,32.0
Tetracycline,6.0,1.0,0.0,0.0,0.0
Vardenafil,6.0,1.0,0.0,0.0,0.0
Yohimbine,6.0,1.0,0.0,0.0,44.0
Bifonazole,6.0,0.0,0.0,1.0,50.0
Boscalid,6.0,0.0,0.0,1.0,67.0
Caffeine,6.0,0.0,0.0,1.0,5.0
Camptothecin,6.0,0.0,0.0,1.0,80.0
Cimetadine,6.0,0.0,0.0,1.0,0.0
Ciprofloxacin,6.0,0.0,0.0,1.0,55.0
Cladribine,6.0,0.0,0.0,1.0,0.0
Clotrimazole,6.0,0.0,0.0,1.0,0.0
Etodolac,6.0,0.0,0.0,1.0,0.0
Griseofulvin,6.0,0.0,0.0,1.0,62.0
Ibuprofen,6.0,0.0,0.0,1.0,95.0
Indomethacin,6.0,0.0,0.0,1.0,0.0
Lamivudine,6.0,0.0,0.0,1.0,0.0
Mizolastine,6.0,0.0,0.0,1.0,53.0
Nevirapine,6.0,0.0,0.0,1.0,0.0
Omeprazole,6.0,0.0,0.0,1.0,0.0
Palbociclib,6.0,0.0,0.0,1.0,103.0
Paracetamol,6.0,0.0,0.0,1.0,33.0
Quinine,6.0,0.0,0.0,1.0,0.0
Ribavirin,6.0,0.0,0.0,1.0,0.0
Risperidone,6.0,0.0,0.0,1.0,60.0
Ritonavir,6.0,0.0,0.0,1.0,0.0
Tetracycline,6.0,0.0,0.0,1.0,0.0
Vardenafil,6.0,0.0,0.0,1.0,0.0
Yohimbine,6.0,0.0,0.0,1.0,0.0
Caffeine,6.0,0.0,1.0,0.0,3.0
Camptothecin,6.0,0.0,1.0,0.0,4.0
Cimetadine,6.0,0.0,1.0,0.0,0.0
Ciprofloxacin,6.0,0.0,1.0,0.0,6.0
Cladribine,6.0,0.0,1.0,0.0,0.0
Clotrimazole,6.0,0.0,1.0,0.0,0.0
Etodolac,6.0,0.0,1.0,0.0,0.0
Griseofulvin,6.0,0.0,1.0,0.0,25.0
Hydroquinine,6.0,0.0,1.0,0.0,11.0
Hydroxychloroquine,6.0,0.0,1.0,0.0,55.0
Ibuprofen,6.0,0.0,1.0,0.0,36.0
Indomethacin,6.0,0.0,1.0,0.0,92.0
Ketanserin,6.0,0.0,1.0,0.0,102.0
Lamivudine,6.0,0.0,1.0,0.0,0.0
Lidocaine,6.0,0.0,1.0,0.0,74.0
Nevirapine,6.0,0.0,1.0,0.0,0.0
Omeprazole,6.0,0.0,1.0,0.0,0.0
Palbociclib,6.0,0.0,1.0,0.0,14.0
Paracetamol,6.0,0.0,1.0,0.0,51.0
Quinine,6.0,0.0,1.0,0.0,0.0
Ribavirin,6.0,0.0,1.0,0.0,0.0
Risperidone,6.0,0.0,1.0,0.0,8.0
Ritonavir,6.0,0.0,1.0,0.0,33.0
Salicin,6.0,0.0,1.0,0.0,24.0
Tetracycline,6.0,0.0,1.0,0.0,0.0
Vardenafil,6.0,0.0,1.0,0.0,0.0
Yohimbine,6.0,0.0,1.0,0.0,71.0
Bifonazole,10.0,1.0,0.0,0.0,102.0
Caffeine,10.0,1.0,0.0,0.0,0.0
Camptothecin,10.0,1.0,0.0,0.0,41.0
Cimetadine,10.0,1.0,0.0,0.0,0.0
Ciprofloxacin,10.0,1.0,0.0,0.0,55.0
Cladribine,10.0,1.0,0.0,0.0,0.0
Clotrimazole,10.0,1.0,0.0,0.0,0.0
Etodolac,10.0,1.0,0.0,0.0,0.0
Ibuprofen,10.0,1.0,0.0,0.0,1.0
Indomethacin,10.0,1.0,0.0,0.0,75.0
Ketanserin,10.0,1.0,0.0,0.0,15.0
Lamivudine,10.0,1.0,0.0,0.0,0.0
Lidocaine,10.0,1.0,0.0,0.0,41.0
Mizolastine,10.0,1.0,0.0,0.0,111.0
Nevirapine,10.0,1.0,0.0,0.0,3.0
Omeprazole,10.0,1.0,0.0,0.0,0.0
Palbociclib,10.0,1.0,0.0,0.0,104.0
Paracetamol,10.0,1.0,0.0,0.0,49.0
Quinine,10.0,1.0,0.0,0.0,0.0
Ribavirin,10.0,1.0,0.0,0.0,0.0
Risperidone,10.0,1.0,0.0,0.0,3.0
Salicin,10.0,1.0,0.0,0.0,29.0
Tetracycline,10.0,1.0,0.0,0.0,0.0
Vardenafil,10.0,1.0,0.0,0.0,0.0
Yohimbine,10.0,1.0,0.0,0.0,45.0
Bifonazole,10.0,0.0,0.0,1.0,58.0
Boscalid,10.0,0.0,0.0,1.0,66.0
Caffeine,10.0,0.0,0.0,1.0,3.0
Camptothecin,10.0,0.0,0.0,1.0,87.0
Cimetadine,10.0,0.0,0.0,1.0,0.0
Ciprofloxacin,10.0,0.0,0.0,1.0,53.0
Cladribine,10.0,0.0,0.0,1.0,0.0
Clotrimazole,10.0,0.0,0.0,1.0,0.0
Etodolac,10.0,0.0,0.0,1.0,0.0
Griseofulvin,10.0,0.0,0.0,1.0,68.0
Ibuprofen,10.0,0.0,0.0,1.0,91.0
Indomethacin,10.0,0.0,0.0,1.0,0.0
Lamivudine,10.0,0.0,0.0,1.0,0.0
Mizolastine,10.0,0.0,0.0,1.0,39.0
Nevirapine,10.0,0.0,0.0,1.0,0.0
Omeprazole,10.0,0.0,0.0,1.0,0.0
Palbociclib,10.0,0.0,0.0,1.0,85.0
Paracetamol,10.0,0.0,0.0,1.0,34.0
Quinine,10.0,0.0,0.0,1.0,0.0
Ribavirin,10.0,0.0,0.0,1.0,0.0
Risperidone,10.0,0.0,0.0,1.0,70.0
Ritonavir,10.0,0.0,0.0,1.0,0.0
Tetracycline,10.0,0.0,0.0,1.0,0.0
Vardenafil,10.0,0.0,0.0,1.0,1.0
Yohimbine,10.0,0.0,0.0,1.0,0.0
Caffeine,10.0,0.0,1.0,0.0,4.0
Camptothecin,10.0,0.0,1.0,0.0,4.0
Cimetadine,10.0,0.0,1.0,0.0,0.0
Ciprofloxacin,10.0,0.0,1.0,0.0,7.0
Cladribine,10.0,0.0,1.0,0.0,0.0
Clotrimazole,10.0,0.0,1.0,0.0,0.0
Etodolac,10.0,0.0,1.0,0.0,0.0
Griseofulvin,10.0,0.0,1.0,0.0,21.0
Hydroquinine,10.0,0.0,1.0,0.0,9.0
Hydroxychloroquine,10.0,0.0,1.0,0.0,68.0
Ibuprofen,10.0,0.0,1.0,0.0,48.0
Indomethacin,10.0,0.0,1.0,0.0,69.0
Ketanserin,10.0,0.0,1.0,0.0,118.0
Lamivudine,10.0,0.0,1.0,0.0,0.0
Lidocaine,10.0,0.0,1.0,0.0,93.0
Nevirapine,10.0,0.0,1.0,0.0,0.0
Omeprazole,10.0,0.0,1.0,0.0,0.0
Palbociclib,10.0,0.0,1.0,0.0,31.0
Paracetamol,10.0,0.0,1.0,0.0,39.0
Quinine,10.0,0.0,1.0,0.0,0.0
Ribavirin,10.0,0.0,1.0,0.0,0.0
Risperidone,10.0,0.0,1.0,0.0,14.0
Ritonavir,10.0,0.0,1.0,0.0,30.0
Salicin,10.0,0.0,1.0,0.0,27.0
Tetracycline,10.0,0.0,1.0,0.0,0.0
Vardenafil,10.0,0.0,1.0,0.0,0.0
Yohimbine,10.0,0.0,1.0,0.0,68.0
Bifonazole,15.0,1.0,0.0,0.0,105.0
Caffeine,15.0,1.0,0.0,0.0,0.0
Camptothecin,15.0,1.0,0.0,0.0,16.0
Cimetadine,15.0,1.0,0.0,0.0,0.0
Ciprofloxacin,15.0,1.0,0.0,0.0,117.0
Cladribine,15.0,1.0,0.0,0.0,0.0
Clotrimazole,15.0,1.0,0.0,0.0,0.0
Etodolac,15.0,1.0,0.0,0.0,0.0
Ibuprofen,15.0,1.0,0.0,0.0,2.0
Indomethacin,15.0,1.0,0.0,0.0,72.0
Ketanserin,15.0,1.0,0.0,0.0,8.0
Lamivudine,15.0,1.0,0.0,0.0,0.0
Lidocaine,15.0,1.0,0.0,0.0,11.0
Mizolastine,15.0,1.0,0.0,0.0,106.0
Nevirapine,15.0,1.0,0.0,0.0,5.0
Omeprazole,15.0,1.0,0.0,0.0,0.0
Palbociclib,15.0,1.0,0.0,0.0,101.0
Paracetamol,15.0,1.0,0.0,0.0,39.0
Quinine,15.0,1.0,0.0,0.0,0.0
Ribavirin,15.0,1.0,0.0,0.0,0.0
Risperidone,15.0,1.0,0.0,0.0,3.0
Salicin,15.0,1.0,0.0,0.0,25.0
Tetracycline,15.0,1.0,0.0,0.0,0.0
Vardenafil,15.0,1.0,0.0,0.0,0.0
Yohimbine,15.0,1.0,0.0,0.0,50.0
Bifonazole,15.0,0.0,0.0,1.0,54.0
Boscalid,15.0,0.0,0.0,1.0,67.0
Caffeine,15.0,0.0,0.0,1.0,2.0
Camptothecin,15.0,0.0,0.0,1.0,92.0
Cimetadine,15.0,0.0,0.0,1.0,0.0
Ciprofloxacin,15.0,0.0,0.0,1.0,42.0
Cladribine,15.0,0.0,0.0,1.0,0.0
Clotrimazole,15.0,0.0,0.0,1.0,0.0
Etodolac,15.0,0.0,0.0,1.0,0.0
Griseofulvin,15.0,0.0,0.0,1.0,67.0
Ibuprofen,15.0,0.0,0.0,1.0,93.0
Indomethacin,15.0,0.0,0.0,1.0,0.0
Lamivudine,15.0,0.0,0.0,1.0,0.0
Mizolastine,15.0,0.0,0.0,1.0,45.0
Nevirapine,15.0,0.0,0.0,1.0,0.0
Omeprazole,15.0,0.0,0.0,1.0,0.0
Palbociclib,15.0,0.0,0.0,1.0,80.0
Paracetamol,15.0,0.0,0.0,1.0,38.0
Quinine,15.0,0.0,0.0,1.0,0.0
Ribavirin,15.0,0.0,0.0,1.0,0.0
Risperidone,15.0,0.0,0.0,1.0,57.0
Ritonavir,15.0,0.0,0.0,1.0,0.0
Tetracycline,15.0,0.0,0.0,1.0,0.0
Vardenafil,15.0,0.0,0.0,1.0,2.0
Yohimbine,15.0,0.0,0.0,1.0,0.0
Caffeine,15.0,0.0,1.0,0.0,1.0
Camptothecin,15.0,0.0,1.0,0.0,1.0
Cimetadine,15.0,0.0,1.0,0.0,0.0
Ciprofloxacin,15.0,0.0,1.0,0.0,9.0
Cladribine,15.0,0.0,1.0,0.0,0.0
Clotrimazole,15.0,0.0,1.0,0.0,0.0
Etodolac,15.0,0.0,1.0,0.0,0.0
Griseofulvin,15.0,0.0,1.0,0.0,25.0
Hydroquinine,15.0,0.0,1.0,0.0,11.0
Hydroxychloroquine,15.0,0.0,1.0,0.0,83.0
Ibuprofen,15.0,0.0,1.0,0.0,44.0
Indomethacin,15.0,0.0,1.0,0.0,64.0
Ketanserin,15.0,0.0,1.0,0.0,101.0
Lamivudine,15.0,0.0,1.0,0.0,0.0
Lidocaine,15.0,0.0,1.0,0.0,126.0
Nevirapine,15.0,0.0,1.0,0.0,0.0
Omeprazole,15.0,0.0,1.0,0.0,0.0
Palbociclib,15.0,0.0,1.0,0.0,18.0
Paracetamol,15.0,0.0,1.0,0.0,45.0
Quinine,15.0,0.0,1.0,0.0,0.0
Ribavirin,15.0,0.0,1.0,0.0,0.0
Risperidone,15.0,0.0,1.0,0.0,15.0
Ritonavir,15.0,0.0,1.0,0.0,38.0
Salicin,15.0,0.0,1.0,0.0,24.0
Tetracycline,15.0,0.0,1.0,0.0,0.0
Vardenafil,15.0,0.0,1.0,0.0,0.0
Yohimbine,15.0,0.0,1.0,0.0,56.0
Bifonazole,25.0,1.0,0.0,0.0,100.0
Caffeine,25.0,1.0,0.0,0.0,0.0
Camptothecin,25.0,1.0,0.0,0.0,9.0
Cimetadine,25.0,1.0,0.0,0.0,0.0
Ciprofloxacin,25.0,1.0,0.0,0.0,126.0
Cladribine,25.0,1.0,0.0,0.0,0.0
Clotrimazole,25.0,1.0,0.0,0.0,0.0
Etodolac,25.0,1.0,0.0,0.0,0.0
Ibuprofen,25.0,1.0,0.0,0.0,2.0
Indomethacin,25.0,1.0,0.0,0.0,65.0
Ketanserin,25.0,1.0,0.0,0.0,7.0
Lamivudine,25.0,1.0,0.0,0.0,0.0
Lidocaine,25.0,1.0,0.0,0.0,7.0
Mizolastine,25.0,1.0,0.0,0.0,100.0
Nevirapine,25.0,1.0,0.0,0.0,4.0
Omeprazole,25.0,1.0,0.0,0.0,0.0
Palbociclib,25.0,1.0,0.0,0.0,100.0
Paracetamol,25.0,1.0,0.0,0.0,40.0
Quinine,25.0,1.0,0.0,0.0,0.0
Ribavirin,25.0,1.0,0.0,0.0,0.0
Risperidone,25.0,1.0,0.0,0.0,2.0
Salicin,25.0,1.0,0.0,0.0,10.0
Tetracycline,25.0,1.0,0.0,0.0,0.0
Vardenafil,25.0,1.0,0.0,0.0,0.0
Yohimbine,25.0,1.0,0.0,0.0,49.0
Bifonazole,25.0,0.0,0.0,1.0,51.0
Boscalid,25.0,0.0,0.0,1.0,70.0
Caffeine,25.0,0.0,0.0,1.0,2.0
Camptothecin,25.0,0.0,0.0,1.0,83.0
Cimetadine,25.0,0.0,0.0,1.0,0.0
Ciprofloxacin,25.0,0.0,0.0,1.0,59.0
Cladribine,25.0,0.0,0.0,1.0,0.0
Clotrimazole,25.0,0.0,0.0,1.0,0.0
Etodolac,25.0,0.0,0.0,1.0,0.0
Griseofulvin,25.0,0.0,0.0,1.0,70.0
Ibuprofen,25.0,0.0,0.0,1.0,89.0
Indomethacin,25.0,0.0,0.0,1.0,0.0
Lamivudine,25.0,0.0,0.0,1.0,0.0
Mizolastine,25.0,0.0,0.0,1.0,53.0
Nevirapine,25.0,0.0,0.0,1.0,0.0
Omeprazole,25.0,0.0,0.0,1.0,0.0
Palbociclib,25.0,0.0,0.0,1.0,85.0
Paracetamol,25.0,0.0,0.0,1.0,39.0
Quinine,25.0,0.0,0.0,1.0,0.0
Ribavirin,25.0,0.0,0.0,1.0,0.0
Risperidone,25.0,0.0,0.0,1.0,45.0
Ritonavir,25.0,0.0,0.0,1.0,0.0
Tetracycline,25.0,0.0,0.0,1.0,0.0
Vardenafil,25.0,0.0,0.0,1.0,4.0
Yohimbine,25.0,0.0,0.0,1.0,0.0
Caffeine,25.0,0.0,1.0,0.0,1.0
Camptothecin,25.0,0.0,1.0,0.0,2.0
Cimetadine,25.0,0.0,1.0,0.0,0.0
Ciprofloxacin,25.0,0.0,1.0,0.0,9.0
Cladribine,25.0,0.0,1.0,0.0,0.0
Clotrimazole,25.0,0.0,1.0,0.0,0.0
Etodolac,25.0,0.0,1.0,0.0,0.0
Griseofulvin,25.0,0.0,1.0,0.0,24.0
Hydroquinine,25.0,0.0,1.0,0.0,14.0
Hydroxychloroquine,25.0,0.0,1.0,0.0,95.0
Ibuprofen,25.0,0.0,1.0,0.0,53.0
Indomethacin,25.0,0.0,1.0,0.0,53.0
Ketanserin,25.0,0.0,1.0,0.0,106.0
Lamivudine,25.0,0.0,1.0,0.0,0.0
Lidocaine,25.0,0.0,1.0,0.0,106.0
Nevirapine,25.0,0.0,1.0,0.0,0.0
Omeprazole,25.0,0.0,1.0,0.0,0.0
Palbociclib,25.0,0.0,1.0,0.0,33.0
Paracetamol,25.0,0.0,1.0,0.0,46.0
Quinine,25.0,0.0,1.0,0.0,0.0
Ribavirin,25.0,0.0,1.0,0.0,0.0
Risperidone,25.0,0.0,1.0,0.0,29.0
Ritonavir,25.0,0.0,1.0,0.0,48.0
Salicin,25.0,0.0,1.0,0.0,21.0
Tetracycline,25.0,0.0,1.0,0.0,0.0
Vardenafil,25.0,0.0,1.0,0.0,0.0
Yohimbine,25.0,0.0,1.0,0.0,39.0
