substrate_id,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Bifonazole,4.222191928475298,4.222191928475298,0.13752162593432393,0.13752162593432393,0.5071355444295608,12.0,310.40000000000003,292.256,310.146998576,116,0,0.09539354001448255,-0.32585382812485075,0.32585382812485075,0.09539354001448255,0.625,1.2083333333333333,1.8333333333333333,15.04962199587366,9.95816902407345,2.150654882330243,-2.1971427712697755,2.2825645111753565,-2.0992837688149795,5.632764662770084,0.6767158255586002,3.184169370342436,1.7398895194531803,869.9580580375426,16.192023676495616,13.286732036413186,13.286732036413186,11.915816237971963,8.094412461350602,8.094412461350602,5.811151176117955,5.811151176117955,4.271862179363885,4.271862179363885,3.082672577675482,3.082672577675482,-3.129999999999999,844492.6637247396,14.461500111710391,6.548506444939078,2.863937426311997,141.6064077406418,4.567099647791355,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,84.92913895846256,22.253805966787983,12.393687143226153,12.369160903912501,0.0,0.0,0.0,9.551078168738563,0.0,6.041840829147961,0.0,114.77704915984725,0.0,11.126902983393991,0.0,0.0,0.0,0.0,9.551078168738563,0.0,0.0,17.16874381254195,103.65014617645325,0.0,11.126902983393991,0.0,17.82,0.0,0.0,0.0,6.041840829147961,0.0,0.0,22.253805966787983,0.0,30.853741354913915,82.3474829902779,0.0,2.1456916099773244,0.0,4.222191928475298,0.0,4.973682392710172,0.0,29.93638469661918,5.722049372218024,0.0,0.0,0.045454545454545456,24,0,2,0,0,0,0,3,1,4,1,0,2,0,2,1,4,0,0,0,0,1,3.9458844452092787,4,5.187800000000004,97.78800000000003,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boscalid,12.415901255563954,12.415901255563954,0.17497597383510133,-0.30137636124408584,0.6551915267194444,10.347826086956522,343.21299999999997,331.11699999999996,342.032668364,114,0,0.2583072157605541,-0.32131642864982873,0.32131642864982873,0.2583072157605541,0.9130434782608695,1.6521739130434783,2.391304347826087,35.496786933307526,10.03404485243853,2.129127269153871,-2.1156250720948657,2.290319094063714,-2.1311235322114324,6.329393411237484,0.10219464187383812,2.5643902425492233,1.9364381132233606,822.6669766700857,16.233840039752504,11.962243793068161,13.474101685105072,11.147867045540842,6.917953581235324,7.673882527253778,4.848373429010516,5.642822296932818,3.334206331251849,3.8873727172564907,2.218351003181064,2.5494982532842556,-2.359999999999999,213429.07110688675,15.532444655320957,6.816482904227554,3.5246597845675995,143.44809836438327,5.316788604006331,5.153109816892792,0.0,0.0,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,53.53371512277308,35.89528683400505,22.47031465173496,5.563451491696996,4.794537184071822,34.7964457845001,0.0,4.9839785209472085,0.0,0.0,5.316788604006331,82.59970887856029,0.0,11.126902983393991,5.316788604006331,5.687386274683562,0.0,23.20187978046503,10.891158250298714,0.0,0.0,10.357988675768818,66.86051425622918,10.175743130634118,11.126902983393991,0.0,41.99,0.0,4.794537184071822,0.0,11.060289546244299,16.273471080121883,11.126902983393991,0.0,18.3295777085363,48.53093654769288,10.30076712495354,23.20187978046503,0.0,11.902292723597956,16.33795008075672,3.7236225446330975,2.8888250608885535,-0.30137636124408584,18.29514404492369,1.5424307953329626,0.0,0.0,0.0,23,1,3,0,0,0,1,2,1,3,0,0,2,1,5,1,3,0,0,0,0,0,4.603332324080693,3,5.307700000000002,94.08820000000001,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Caffeine,11.672037037037038,11.672037037037038,0.3165740740740737,-0.35999999999999965,0.5384628262372215,11.071428571428571,194.194,184.11399999999998,194.08037556,74,0,0.3317034326359889,-0.3278634660994821,0.3317034326359889,0.3278634660994821,1.1428571428571428,1.7857142857142858,2.4285714285714284,16.161282315860767,10.48818798692215,2.1102552164294255,-2.021517497066594,2.0118198978857023,-2.3696654059207383,5.691604588780575,0.7054356050886186,2.53868764707295,3.221281081084588,597.2256230854156,10.455665446700477,8.182701232117186,8.182701232117186,6.536581260209188,4.107927642957932,4.107927642957932,3.2334489655756182,3.2334489655756182,2.3165128954882372,2.3165128954882372,1.4711798853237632,1.4711798853237632,-1.8499999999999999,1876.0901711869099,8.73523326923911,2.5679479011227926,0.8757741627139433,79.02895701814933,4.567099647791355,0.0,11.16387793838399,0.0,5.559266895052008,5.689743398203474,13.928736479654532,9.77851570501903,0.0,0.0,0.0,0.0,21.143015948031568,6.3273200747645415,0.0,11.16387793838399,0.0,18.68527746432127,21.143015948031568,0.0,0.0,27.165404736163666,0.0,0.0,11.24901029325548,0.0,0.0,0.0,18.68527746432127,21.143015948031568,0.0,0.0,15.916394442908185,0.0,11.16387793838399,0.0,61.82,0.0,9.589074368143644,0.0,11.24901029325548,11.16387793838399,4.567099647791355,17.942091705233086,18.662443613145733,0.0,4.9839785209472085,0.0,4.039537037037036,0.0,27.15444822373394,0.0,0.18009259259259403,0.0,0.0,1.5193518518518518,0.0,4.773236961451247,0.375,14,0,6,0,0,0,0,0,2,2,0,0,6,0,6,2,0,0,0,0,0,0,1.6022588528257544,2,-1.0293,51.19600000000002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camptothecin,13.010453199798437,13.010453199798437,0.10978237591332785,-1.789747023809523,0.5327639891125654,20.46153846153846,348.358,332.2300000000001,348.111006992,130,0,0.3426763382231084,-0.45819772812579923,0.45819772812579923,0.3426763382231084,1.2692307692307692,2.076923076923077,2.8846153846153846,16.55130200266889,9.857666585123692,2.4485533423573864,-2.3125749231925377,2.3795388049571202,-2.4391788376957204,5.858094219614515,-0.17183691093821077,3.0119319112930247,1.8134139101470272,1138.6474338541923,18.051677284948283,14.151807616588863,14.151807616588863,12.52502379824839,8.585127085592587,8.585127085592587,6.791866087794112,6.791866087794112,5.4167907715910895,5.4167907715910895,3.9251531527875034,3.9251531527875034,-2.9899999999999993,1523004.454468697,15.27944344800238,5.016137241019722,1.8187570089948242,148.22824286689612,14.410489996432108,6.606881964512918,5.601050810983688,0.0,5.559266895052007,5.969305287951849,4.794537184071822,9.77851570501903,0.0,0.0,25.122838405075452,24.619922828310838,16.513127197858786,29.012764604922758,14.637927532712578,16.872230220032908,0.0,9.551078168738563,0.0,32.097248004025815,0.0,63.44236096498447,0.0,11.387855989696922,5.559266895052007,0.0,0.0,0.0,20.626910851531118,28.28408931928105,0.0,30.03491329770762,41.192739594841484,0.0,22.29078092177798,0.0,81.42,11.570356098935537,14.69560176298435,0.0,18.586970482490933,23.365587384155027,22.160304418626517,0.0,17.55720391594359,30.33183534230805,0.0,9.720841474747257,6.7171555493435005,0.0,29.877653971342642,11.847358932011485,1.8138044060216707,-0.7069064229354634,11.55302070134885,0.13862371047796773,2.0092891523893512,0.0,0.25,26,1,6,0,2,2,0,1,2,3,1,0,6,1,6,4,1,0,0,0,0,0,2.947837896214597,5,2.0796,94.5248,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cimetadine,8.391574739744382,8.391574739744382,0.5037500000000004,0.5037500000000004,0.30890872334135266,11.0,252.347,236.219,252.11571551199998,92,0,0.20866777981699983,-0.35856207265528256,0.35856207265528256,0.20866777981699983,1.7058823529411764,2.5294117647058822,3.1176470588235294,32.16649129761092,10.386482793305207,2.002992142034369,-2.0616785891148175,2.108624332926495,-2.3536815058561404,7.980548325257588,0.9171715672659322,2.7307249421932687,2.151693817413138,384.41596380874535,12.510225400620904,9.948559689713006,10.765056270640732,8.274386907679233,5.225758265718064,6.380458804097315,3.2640031839074886,4.369174899430026,2.1105450579487863,3.080905495178449,1.1769327124779034,2.0520610354182773,-1.6800000000000002,8399.709922186494,13.38527415143603,7.570081043458362,4.7817848631942805,104.92554288214417,15.617555728959871,0.0,0.0,12.152710664522676,0.0,0.0,0.0,4.9839785209472085,17.0237765041296,4.992404732635669,0.0,6.923737199690624,30.792063596931804,12.021248069613002,0.0,17.72143951813495,5.261891554738487,20.60153424990708,4.992404732635669,12.676590806437414,19.345281995336553,17.715176064461463,0.0,6.19315609577884,10.633577208012662,0.0,0.0,11.761884949391115,35.272793605974805,5.752853606746789,18.37878485020795,11.387855989696922,11.31972480740021,0.0,0.0,0.0,88.88999999999999,0.0,0.0,0.0,0.0,5.959554568743835,29.438319609103075,0.0,31.330033102611687,6.923737199690624,25.59393898254275,5.261891554738487,0.0,1.7850186602418743,10.844272180507751,14.230296683768906,2.210137058024414,2.3229183201058206,0.0,3.441963102951108,2.7731323241086048,1.7255950036248557,0.5,17,3,6,0,0,0,0,0,1,1,0,0,4,3,7,1,5,0,0,0,0,0,5.960447653839948,1,0.5973999999999999,69.59710000000001,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ciprofloxacin,14.607685185185185,14.607685185185185,0.1372078136810282,-1.2751022303881248,0.8932298763507215,18.125,331.3470000000001,313.20300000000003,331.13321965599994,126,0,0.3407230786793809,-0.4774970228339016,0.4774970228339016,0.3407230786793809,1.25,1.9583333333333333,2.5833333333333335,19.142215575448983,10.090180914172347,2.2763834013285003,-2.2977441002770878,2.3770727924665356,-2.4348915816481815,5.93258744823747,0.06945569478799336,3.403898859383536,1.9485981247024464,851.7178001851469,16.844570503761737,13.088143604314618,13.088143604314618,11.558550648063804,8.13388326683475,8.13388326683475,6.373312034026569,6.373312034026569,4.729110360732637,4.729110360732637,3.3138575734326072,3.3138575734326072,-2.41,672746.5705685621,15.137295119421712,5.592172599010578,2.4478616810646066,137.0430709359096,19.890325377488868,11.38067233274289,0.0,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,24.97437738277524,43.80393423887613,11.204086992299825,14.291479626587348,22.55961649471647,0.0,9.883888251797686,0.0,18.88348407499998,31.078935354500782,39.933577617251544,0.0,0.0,15.64548872675735,10.077801322358383,0.0,0.0,41.82195795423421,0.0,5.817220841045895,29.241472750768796,23.124114892608116,0.0,10.902924932081056,0.0,74.57,17.215316520898284,19.08601681065917,0.0,16.991516535309753,24.293599804124977,25.931156057677168,12.263210640074686,6.06636706846161,9.467009378641833,5.316788604006331,0.0,16.432410478080122,0.0,25.71456571096452,12.6196285019594,0.15943609851348062,-1.755300643086537,3.0780981250524895,3.290533509700176,2.9606282188163497,0.0,0.4117647058823529,24,2,6,1,1,2,0,1,1,2,0,0,5,2,7,2,3,1,1,2,0,0,3.5270986245819436,4,1.5833,88.47900000000004,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cladribine,9.737182364715434,9.737182364715434,0.01759592571596591,-0.7341609977324264,0.6481668237451135,27.210526315789473,285.691,273.595,285.06286692399993,102,0,0.22595282697379504,-0.3935688360285742,0.3935688360285742,0.22595282697379504,1.5263157894736843,2.3157894736842106,3.0,35.49570153344631,10.170033108718657,2.349419178908289,-2.130992407937089,2.3109260216208054,-2.239304334001444,6.283088217344632,-0.04317553174114143,2.918930051542239,2.023467355311035,587.3492720572724,13.568549621822843,9.770459244794065,10.52638819081252,9.096555450524587,5.697804208120737,6.075768681129964,4.316739895040157,4.654801596931565,3.1154626273852766,3.2844934783309796,2.171713556439066,2.342820432860267,-1.4800000000000002,32508.123984025915,12.548579346949742,4.566261411123596,2.0203591834007146,112.35519257792845,20.683585220643646,17.848568276099435,11.465039998602755,5.283586320044258,0.0,0.0,4.567099647791355,4.9839785209472085,9.967957041894417,0.0,0.0,11.600939890232516,6.4208216229260096,19.038168427025763,14.94991774348146,28.582680606451532,0.0,19.519035210632982,0.0,24.856655569157482,12.340549441675103,11.6109063948088,0.0,0.0,5.733667477162185,5.817862777835028,0.0,11.600939890232516,48.54690474032391,4.736862953800049,0.0,12.64872279366088,6.3273200747645415,5.283586320044258,11.16387793838399,0.0,119.31000000000002,18.435833946231476,5.106527394840706,0.0,17.708331062392205,17.58469956131,0.0,6.3273200747645415,4.567099647791355,0.0,14.951935562841626,27.177997716035456,7.156880196523055,5.770617318944037,11.99140589569161,18.83140238760113,6.572330719324767,0.18611444423448464,0.0,0.01686854371378077,-0.247841728255088,0.0,0.5,19,4,8,0,1,1,0,0,2,2,3,0,8,3,9,3,2,0,1,1,0,0,3.0157944019157448,3,-0.2974000000000002,66.36500000000001,0,2,2,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clotrimazole,6.691467151675484,6.691467151675484,0.585949074074074,-0.585949074074074,0.45454498474207145,11.4,344.845,327.70900000000006,344.108026224,122,0,0.12258561028717012,-0.31890279301670854,0.31890279301670854,0.12258561028717012,0.72,1.28,1.8,35.49569183415235,9.764475614110433,2.3890468838456567,-2.3739979004122445,2.427252363403156,-2.367836110034918,6.311501660041606,0.5146156596467791,3.2063001130879054,2.1535836481568715,892.2817521685303,17.11467340730599,13.587346240232787,14.343275186251242,12.331370464613116,8.177435400812115,8.555399873821342,5.892261019834485,6.299461146575091,4.538475267103274,4.86806348814332,3.4857578229561543,3.758240029525089,-2.8399999999999994,1236605.8276157433,15.673998801944185,6.577182238233219,2.5530431664020705,151.90967396752345,4.567099647791355,5.538925252383345,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,90.46371178023347,17.193270051855603,22.979771948664474,6.3273200747645415,0.0,11.600939890232516,0.0,9.551078168738563,0.0,5.538925252383345,0.0,125.36313396528558,0.0,0.0,0.0,0.0,0.0,11.600939890232516,9.551078168738563,5.538925252383345,0.0,16.690354475090988,103.65014617645326,5.022633313741326,0.0,0.0,17.82,5.538925252383345,0.0,0.0,0.0,0.0,21.71298778883231,0.0,6.196843571613076,42.85599898868567,64.14838178489306,11.600939890232516,2.1238888888888887,6.691467151675484,4.314171390778534,0.725839002267574,2.6980015432098776,0.0,28.831421170319977,5.64298863063744,0.0,0.0,0.045454545454545456,25,0,2,0,0,0,0,3,1,4,0,0,2,0,3,1,4,0,0,0,0,0,4.123629860889442,4,5.376700000000004,101.84300000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colchicine,12.642141291331857,12.642141291331857,0.1667108108675568,-0.3320351473922907,0.8325220081385356,14.724137931034482,399.4430000000002,374.24300000000017,399.16818751999995,154,0,0.22021569346160347,-0.49270383913776233,0.49270383913776233,0.22021569346160347,0.9655172413793104,1.6551724137931034,2.2413793103448274,16.530541667326993,9.952597444431232,2.2893992513055634,-2.1928546928012227,2.496969227878799,-2.26198917581012,5.830914725244953,-0.11927673673034547,2.947694769244235,2.4141279799484034,974.1307413780224,21.12902755413791,17.250454651104402,17.250454651104402,13.94262066547582,9.262274124396015,9.262274124396015,6.750545770836782,6.750545770836782,5.098020717230942,5.098020717230942,3.8620647041129375,3.8620647041129375,-3.2199999999999998,3026041.5485159773,20.512615256870166,8.426176651903862,3.721770404485165,169.10472006325656,24.264240419206526,0.0,17.248535499851716,17.08548195453595,0.0,0.0,9.589074368143644,0.0,0.0,0.0,6.06636706846161,47.73109892632784,12.487188691387619,34.48103099425809,23.741988999272017,5.907179729351506,0.0,5.316788604006331,0.0,25.807221274690605,28.439190165110134,45.61569883321279,0.0,34.12495031652961,29.693030811107068,0.0,22.99804733313562,0.0,34.34636989446164,11.21535880699783,0.0,30.513302635158585,29.060005457918262,0.0,11.126902983393991,0.0,83.09000000000002,0.0,9.589074368143644,0.0,23.127322783683912,35.653630237400726,16.690354475090988,20.099901809429767,27.39575969229421,12.13273413692322,5.316788604006331,18.947451815200196,21.99559367922508,0.0,24.480584714257603,2.964084624590577,3.0102698780129344,1.6049147560258685,6.569938350340136,1.2685517447719825,1.4642636159402032,6.141798636835613,0.36363636363636365,29,1,7,1,0,1,1,2,0,2,1,0,6,1,7,0,5,0,0,0,0,0,5.960100680928495,3,2.871600000000001,109.23470000000005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
