smiles,substrate_id
N1(C(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=CC=C4)C=CN=C1,Bifonazole
O=C(NC1=CC=CC=C1C2=CC=C(Cl)C=C2)C3=CC=CN=C3Cl,Boscalid
O=C(N(C1=O)C)N(C2=C1N(C=N2)C)C,Caffeine
O=C1C2=C([C@@](O)(CC)C(OC2)=O)C=C(N1C3)C(C3=C4)=NC5=C4C=CC=C5,Camptothecin
CN/C(NCCSCC1=C(C)NC=N1)=N\C#N,Cimetadine
O=C(O)C1=CN(C2=CC(N3CCNCC3)=C(F)C=C2C1=O)C4CC4,Ciprofloxacin
NC1=NC(Cl)=NC2=C1N=CN2[C@H]3C[C@@H]([C@H](O3)CO)O,Cladribine
ClC1=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)N4C=CN=C4)C=CC=C1,Clotrimazole
O=C(C=C1[C@@H](NC(C)=O)CC2)C(OC)=CC=C1C(C(OC)=C3OC)=C2C=C3OC,Colchicine
CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(O)=O,Etodolac
O=C1C(C(OC)=C2)=C(C(Cl)=C2OC)O[C@@]1([C@H](C)C3)C(OC)=CC3=O,Griseofulvin
O[C@@H]([C@@H]1[N@@](CC2)C[C@H](CC)[C@@H]2C1)C3=CC=NC4=C3C=C(OC)C=C4,Hydroquinine
CC(NC1=CC=NC2=C1C=CC(Cl)=C2)CCCN(CC)CCO,Hydroxychloroquine
CC(CC1=CC=C(C(C(O)=O)C)C=C1)C,Ibuprofen
CC1=C(C2=C(N1C(C3=CC=C(Cl)C=C3)=O)C=CC(OC)=C2)CC(O)=O,Indomethacin
FC1=CC=C(C=C1)C(C2CCN(CC2)CCN3C(NC4=CC=CC=C4C3=O)=O)=O,Ketanserin
NC1=NC(N([C@@H]2CS[C@@H](O2)CO)C=C1)=O,Lamivudine
CC1=CC=CC(C)=C1NC(CN(CC)CC)=O,Lidocaine
CN(C1=NC=CC(N1)=O)C(CC2)CCN2C3=NC4=C(N3CC5=CC=C(F)C=C5)C=CC=C4,Mizolastine
CC1=C2NC(C3=C(N(C2=NC=C1)C4CC4)N=CC=C3)=O,Nevirapine
CC(C(OC)=C1C)=CN=C1CS(C2=NC3=C(N2)C=CC(OC)=C3)=O,Omeprazole
CC(C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N4CCNCC4)N=C2N(C5CCCC5)C1=O)=O,Palbociclib
O=C(C)NC1=CC=C(O)C=C1,Paracetamol
O[C@@H]([C@@H]1[N@@](CC2)C[C@H](C=C)[C@@H]2C1)C3=CC=NC4=C3C=C(OC)C=C4,Quinine
OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC(C(N)=O)=N2)O1)O)O,Ribavirin
O=C1C(CCN2CCC(CC2)C3=NOC4=C3C=CC(F)=C4)=C(N=C5N1CCCC5)C,Risperidone
O=C(N[C@@H](CC1=CC=CC=C1)[C@H](C[C@@H](NC([C@@H](NC(N(C)CC2=CSC(C(C)C)=N2)=O)C(C)C)=O)CC3=CC=CC=C3)O)OCC4=CN=CS4,Ritonavir
OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)OC2=CC=CC=C2CO,Salicin
OC1=CC=CC2=C1C(C3=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]4N(C)C)=O)(O)C4CC3[C@@]2(O)C)=O,Tetracycline
CCCC1=NC(C)=C2N1NC(C3=C(C=CC(S(=O)(N4CCN(CC4)CC)=O)=C3)OCC)=NC2=O,Vardenafil
[H][C@]12C(NC3=C4C=CC=C3)=C4CCN1C[C@@]5(CC[C@@H]([C@@H]([C@]5(C2)[H])C(OC)=O)O)[H],Yohimbine