code_name,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
Etodolac_rdkit,2.6565000000000003,-9.5157,-6.8592,7.1011,-0.6854,2.8861,0,491.2597,-11.0126,-6.0831,-8.1874,204.9557,0.1646,7.7864,0.1285,3.2078,0.6608,1.4655,11.4548,4.5236,80.629,3.383000000000002
Hydroxychloroquine_rdkit,2.6277,-9.5174,-6.8897,6.8556,-0.3798,9.1933,0,556.4029,-10.2772,-1.5781,-8.2035,243.4664,0.263,7.2354,0.13820000000000002,3.2379,0.7245,1.4203999999999999,10.5616,4.4309,68.1323,3.783000000000002
Clotrimazole_rdkit,3.2398,-10.0298,-6.7901,7.6484,-0.0893,4.0816,0,523.8779,-7.3537,-0.871,-8.41,261.5896,0.1983,7.7377,0.1292,3.7795,0.9231,1.185,11.417,5.7907,96.1461,5.376700000000004
Ritonavir_rdkit,2.8937,-10.2374,-7.3437,6.933,0.5554,6.8051,0,931.259,-22.0313,-3.7296,-8.7906,512.6117,0.3356,6.3776,0.1569,3.7441,1.1013,1.1192,9.6351,7.3415,82.8641,5.905200000000008
Paracetamol_rdkit,3.7521,-10.0855,-6.3333,7.9257,-1.1654,3.5523,0,331.5354,-13.4034,-5.2872,-8.2094,106.1757,0.07830000000000001,9.0911,0.11,3.3802,0.6284000000000001,1.4224,13.0775,3.2307,90.1972,1.3505999999999991
Salicin_rdkit,4.3152,-10.8805,-6.5652,8.1292,-1.2634,4.5584,0,466.7843,-19.8108,-13.0166,-8.7228,177.34,0.0575,9.3926,0.10640000000000001,3.4329,0.6275000000000001,1.4054,12.0014,2.6744,103.8239,-1.6424
Colchicine_rdkit,2.3271,-10.0452,-7.7181,7.044,0.5558000000000001,5.7999,0,612.6531,-18.4137,-3.3174,-8.8817,273.0446,0.4758,6.4882,0.15410000000000001,3.7999,1.1129,1.1038000000000001,10.5268,6.0602,56.7387,2.871600000000001
Nevirapine_rdkit,2.5005,-9.9647,-7.4642,7.3267,0.2868,2.549,0,458.0012,-9.8128,-2.1054,-8.7145,189.0603,0.3516,7.0399,0.14200000000000002,3.8068,1.0293,1.1359,11.6098,5.4726,64.4214,2.65122
Indomethacin_rdkit,2.4698,-10.1781,-7.7083,7.3867,0.714,3.0409,0,561.1257,-15.9255,-6.99,-8.943200000000001,240.0478,0.3166,6.6727,0.1499,4.0503,1.2296,1.0204,11.0149,6.4687,69.9721,3.927320000000003
Palbociclib_rdkit,1.6074000000000002,-9.5085,-7.9011,6.5567,1.007,7.7649,0,703.589,-17.2317,-3.4739,-8.7052,315.2652,0.6387,5.5497,0.1802,3.7819000000000003,1.2886,1.0385,9.7342,6.8931000000000004,54.1775,2.9658200000000012
Vardenafil_rdkit,1.2741,-9.3637,-8.0896,6.7844,1.0481,10.6681,0,707.2118,-32.439,-3.718,-8.7266,335.8112,0.579,5.7362,0.1744,3.9163,1.3371,1.0019,10.2981,6.4004,55.7097,2.07042
Bifonazole_rdkit,3.1156,-10.0002,-6.8846,7.4352,0.039900000000000005,4.4366,0,555.6136,-6.5037,-0.6438,-8.4424,249.3779,0.1893,7.3953,0.13520000000000001,3.7375,0.9445,1.1849,11.0482,6.0039,85.5496,5.187800000000004
Ciprofloxacin_rdkit,2.3672,-9.774000000000001,-7.4067,7.0724,0.2484,8.9438,0,520.7436,-27.3439,-7.5879,-8.5904,215.8849,0.3554,6.824,0.1466,3.6604,0.9817,1.1849,11.0364,5.3975,65.9942,1.5833
Mizolastine_rdkit,3.114,-10.0646,-6.9506,7.0206,0.2748,6.8012,0,669.5903,-20.0979,-3.1853,-8.5076,305.4115,0.2753,6.7458,0.14830000000000002,3.6477,0.9865,1.1855,10.377,6.6926,81.7381,3.4122000000000012
Lamivudine_rdkit,2.856,-10.2312,-7.3752,7.8387,0.036000000000000004,6.8668,0,395.0603,-22.457,-7.3199,-8.8032,143.2321,0.18810000000000002,7.8028,0.1282,3.9374000000000002,0.9935,1.1256,12.2242,5.2185,81.1387,-0.5941000000000001
Cladribine_rdkit,3.2473,-10.5087,-7.2614,7.904,-0.2111,3.9807,0,434.8623,-22.0646,-8.588,-8.8851,169.3639,0.1569,8.1151,0.1232,3.8464,0.9117000000000001,1.1756,12.0023,4.2056000000000004,80.9974,-0.2974
Ibuprofen_rdkit,4.0921,-10.5542,-6.462,8.0486,-1.0301,1.9008,0,433.409,-9.9177,-5.825,-8.5081,155.418,0.0614,9.0788,0.1102,3.5093,0.6782,1.3593,12.2368,3.5623,99.417,3.073200000000001
Omeprazole_rdkit,3.1287,-10.1636,-7.0349,7.3557,0.09820000000000001,3.8019,0,505.5592,-14.4298,-2.8743,-8.5992,239.8503,0.2482,7.2574,0.1378,3.7269,0.9572,1.1817,11.1078,5.7059999999999995,77.4746,2.89974
Caffeine_rdkit,3.4242,-10.5814,-7.1572,8.3483,-0.459,4.063,0,357.4395,-12.8167,-2.5542,-8.8693,124.4981,0.1041,8.8073,0.1135,3.9447,0.8834000000000001,1.1656,13.161,3.7494,84.2295,-1.0293
Hydroquinine_rdkit,2.4768,-9.749600000000001,-7.2728,7.0422,-0.08320000000000001,5.0615,0,540.5722,-8.5142,-3.0172,-8.5111,240.0084,0.301,7.1254,0.1403,3.4795,0.8496,1.2873,10.8271,4.589,65.2095,3.397200000000002
Risperidone_rdkit,1.8972,-9.3856,-7.4884,6.9813,0.6294000000000001,5.4523,0,649.9061,-15.2304,-2.6167,-8.437,282.3925,0.3521,6.3519,0.1575,3.8053,1.1402,1.0921,10.5443,6.7205,73.1872,3.590420000000002
Ribavirin_rdkit,3.5894,-10.9897,-7.4004,8.4915,-0.48750000000000004,5.1967,0,403.1941,-23.9266,-10.9136,-9.1951,139.3487,0.10650000000000001,8.979,0.1114,4.002,0.892,1.1508,12.8607,3.2105,91.3172,-3.011499999999999
Ketanserin_rdkit,1.6477,-9.4391,-7.7914,7.2149,1.1028,4.6815999999999995,0,605.4463,-16.6156,-3.9552,-8.6153,269.799,0.45070000000000005,6.1122,0.1637,4.1588,1.4172,0.9459000000000001,10.8835,7.2063,65.8645,2.4238
Yohimbine_rdkit,2.754,-9.4481,-6.6942,6.7957,-0.525,2.5822000000000003,0,573.1479,-10.0601,-3.6506,-8.0712,250.8942,0.1842,7.3207,0.1366,3.1354,0.6715,1.4847000000000001,10.5404,5.0461,82.0467,2.6471
Tetracycline_rdkit,1.7267000000000001,-9.9081,-8.1814,7.2394,1.3554,3.1379,0,593.3639,-24.7007,-14.8411,-9.0448,283.3346,0.6618,5.8841,0.1699,4.2974,1.5693000000000001,0.8842000000000001,10.7226,7.1591000000000005,55.7953,-0.214399999999999
Cimetadine_rdkit,3.4292,-9.685,-6.2558,7.2099,-0.9182,11.3583,0,448.5068,-21.7376,-3.1418,-7.9704,176.4434,0.1375,8.128,0.123,3.1458,0.6089,1.5158,11.4079,4.6167,95.717,0.597399999999999
Boscalid_rdkit,2.6661,-10.521,-7.855,7.5888,0.8321000000000001,1.3293,0,518.1485,-10.109,-1.5093,-9.188,235.3184,0.3284,6.7567,0.148,4.2105,1.3119,0.9707,11.2506,6.6886,70.6517,5.307700000000002
Griseofulvin_rdkit,2.6096,-10.4319,-7.8223,7.5523,0.7939,8.6956,0,550.2888,-16.2695,-2.9031000000000002,-9.1271,219.8625,0.3456,6.7584,0.148,4.1731,1.2884,0.9832000000000001,11.3117,6.2647,66.1641,2.8103
Quinine_rdkit,2.4761,-9.7621,-7.286,7.0465,0.0548,4.9682,0,530.963,-8.7216,-3.0765,-8.5241,239.263,0.307,6.9918,0.14300000000000002,3.5507,0.9016000000000001,1.2452,10.8024,5.5488,65.3365,3.1732000000000022
Lidocaine_rdkit,3.6827,-9.7526,-6.0699,7.2705,-1.3275000000000001,4.5152,0,454.1434,-7.8939,-1.219,-7.9113,181.016,0.0863,8.598,0.1163,2.9715,0.5136000000000001,1.6395,11.5193,3.3088,93.8535,2.58374
Camptothecin_rdkit,2.2057,-10.537700000000001,-8.332,7.7181,1.3911,6.7175,0,542.29,-15.3716,-4.7704,-9.4349,236.2048,0.5068,6.327,0.158,4.5546,1.6393,0.8401000000000001,11.3646,7.0882,54.3651,2.0796
